,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1633853368735,FTMUSDT,23542.00000000,2.11410000,False,2.11430000,0,1m,False,1633853399999,1633853340000,False,2.11260000,102,2.11380000,49754.64120000,17413.00000000,36800.55850000
0,1633853405318,FTMUSDT,245.00000000,2.11400000,False,2.11420000,0,1m,False,1633853459999,1633853400000,False,2.11380000,3,2.11420000,517.93380000,232.00000000,490.45440000
0,1633853408168,FTMUSDT,1477.00000000,2.11300000,False,2.11420000,0,1m,False,1633853459999,1633853400000,False,2.11300000,9,2.11420000,3121.88810000,982.00000000,2075.72310000
0,1633853462342,FTMUSDT,905.00000000,2.11660000,False,2.11670000,0,1m,False,1633853519999,1633853460000,False,2.11610000,10,2.11640000,1915.42500000,613.00000000,1297.48270000
0,1633853522918,FTMUSDT,5122.00000000,2.11670000,False,2.11790000,0,1m,False,1633853579999,1633853520000,False,2.11640000,22,2.11790000,10845.30820000,969.00000000,2052.05430000
0,1633853582384,FTMUSDT,1531.00000000,2.11720000,False,2.11730000,0,1m,False,1633853639999,1633853580000,False,2.11690000,8,2.11690000,3241.48780000,1149.00000000,2432.77500000
0,1633853642616,FTMUSDT,1011.00000000,2.11110000,False,2.11160000,0,1m,False,1633853699999,1633853640000,False,2.11110000,8,2.11140000,2134.52850000,26.00000000,54.89620000
0,1633853703247,FTMUSDT,424.00000000,2.10900000,False,2.10900000,0,1m,False,1633853759999,1633853700000,False,2.10880000,3,2.10890000,894.13970000,9.00000000,18.98100000
0,1633853762463,FTMUSDT,455.00000000,2.10690000,False,2.10700000,0,1m,False,1633853819999,1633853760000,False,2.10680000,4,2.10700000,958.60500000,0.00000000,0.00000000
0,1633853823652,FTMUSDT,779.00000000,2.11120000,False,2.11150000,0,1m,False,1633853879999,1633853820000,False,2.11100000,10,2.11130000,1644.71420000,415.00000000,876.26620000
