,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1633853368201,OMGUSDT,7383.00000000,13.98800000,False,14.00200000,0,1m,False,1633853399999,1633853340000,False,13.98000000,135,13.99600000,103289.42920000,1164.90000000,16299.78630000
0,1633853410334,OMGUSDT,710.70000000,13.99000000,False,13.99700000,0,1m,False,1633853459999,1633853400000,False,13.99000000,20,13.99700000,9944.53140000,0.00000000,0.00000000
0,1633853463471,OMGUSDT,22.10000000,13.99000000,False,13.99000000,0,1m,False,1633853519999,1633853460000,False,13.98600000,2,13.98600000,309.17300000,22.10000000,309.17300000
0,1633853524684,OMGUSDT,95.00000000,13.98700000,False,13.98700000,0,1m,False,1633853579999,1633853520000,False,13.98600000,5,13.98600000,1328.76230000,95.00000000,1328.76230000
0,1633853582462,OMGUSDT,3632.70000000,13.98600000,False,13.99000000,0,1m,False,1633853639999,1633853580000,False,13.97800000,61,13.98400000,50801.40030000,2427.20000000,33945.78320000
0,1633853642167,OMGUSDT,623.80000000,13.97100000,False,13.97800000,0,1m,False,1633853699999,1633853640000,False,13.97100000,17,13.97500000,8716.82550000,110.40000000,1542.84260000
0,1633853704091,OMGUSDT,96.20000000,13.96200000,False,13.96800000,0,1m,False,1633853759999,1633853700000,False,13.96200000,8,13.96800000,1343.44960000,0.00000000,0.00000000
0,1633853762462,OMGUSDT,325.00000000,13.94600000,False,13.95000000,0,1m,False,1633853819999,1633853760000,False,13.94600000,16,13.94900000,4533.41240000,152.30000000,2124.48590000
0,1633853822908,OMGUSDT,126.10000000,13.94400000,False,13.94600000,0,1m,False,1633853879999,1633853820000,False,13.94300000,9,13.94600000,1758.45760000,97.20000000,1355.49170000
0,1633853883268,OMGUSDT,263.20000000,13.95700000,False,13.96100000,0,1m,False,1633853939999,1633853880000,False,13.95400000,14,13.95400000,3673.79240000,260.40000000,3634.70720000
0,1633853943006,OMGUSDT,20.40000000,13.94700000,False,13.94700000,0,1m,False,1633853999999,1633853940000,False,13.94600000,5,13.94600000,284.50230000,3.90000000,54.39330000
0,1633854003300,OMGUSDT,90.00000000,13.93500000,False,13.93600000,0,1m,False,1633854059999,1633854000000,False,13.93500000,6,13.93500000,1254.21070000,74.90000000,1043.79220000
0,1633854062315,OMGUSDT,258.30000000,13.94200000,False,13.94200000,0,1m,False,1633854119999,1633854060000,False,13.93900000,7,13.93900000,3600.91350000,258.30000000,3600.91350000
0,1633854123498,OMGUSDT,144.90000000,13.96700000,False,13.96700000,0,1m,False,1633854179999,1633854120000,False,13.96300000,8,13.96500000,2023.54290000,102.10000000,1425.92650000
